Business,Industry,Website,Address,Postcode,Nearest FC Urban venue,Walk (min),Contact first name,Contact full name,Contact job title,LinkedIn URL,Connection note (<=300),Note length,Follow-up DM,InMail subject,InMail body,LinkedIn status,Connected at,Replied,Notes
Rathbones,finance,http://rathbones.link/london-office,"30 Gresham St, London EC2V 7QN, UK",EC2V 7QN,Borough Academy,24,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 24-min walk from Rathbones. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",247,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 24 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Rathbones who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Rathbones,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Borough Academy, a 24-minute walk from your office. We're looking for someone at Rathbones who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Saunders Law,finance,https://www.saunders.co.uk/,"Ground Floor, Hind House, 2-3 Hind Ct, London EC4A 3DL, UK",EC4A 3DL,Borough Academy,24,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 24-min walk from Saunders Law. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",250,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 24 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Saunders Law who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Saunders Law,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Borough Academy, a 24-minute walk from your office. We're looking for someone at Saunders Law who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Amedeo,finance,http://www.amedeo.aero/,"Landstock Estates Ltd, 30 Cornhill, London EC3V 3NB, UK",EC3V 3NB,Borough Academy,25,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 25-min walk from Amedeo. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",244,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 25 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Amedeo who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Amedeo,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Borough Academy, a 25-minute walk from your office. We're looking for someone at Amedeo who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Baillie Gifford & Co,finance,https://www.bailliegifford.com/,"3 St Helen's Pl, London EC3A 6AB, UK",EC3A 6AB,Whitechapel,25,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 25-min walk from Baillie Gifford & Co. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",254,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 25 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Baillie Gifford & Co who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Baillie Gifford & Co,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Whitechapel, a 25-minute walk from your office. We're looking for someone at Baillie Gifford & Co who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
ERS Insurance,insurance_agency,http://ers.com/,"30 Fenchurch St, London EC3M 3BD, UK",EC3M 3BD,Borough Academy,25,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 25-min walk from ERS Insurance. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",251,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 25 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at ERS Insurance who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near ERS Insurance,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Borough Academy, a 25-minute walk from your office. We're looking for someone at ERS Insurance who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Fenchurch Insurance Brokers Limited,insurance_agency,https://fenchurchinsurance.com/,"37-39 Lime St, London EC3M 7AY, UK",EC3M 7AY,Whitechapel,25,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 25-min walk from Fenchurch Insurance Brokers Limited. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",269,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 25 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Fenchurch Insurance Brokers Limited who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Fenchurch Insurance Brokers Limited,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Whitechapel, a 25-minute walk from your office. We're looking for someone at Fenchurch Insurance Brokers Limited who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Kinetic Investments,finance,http://ki.uk/,"34-37 Liverpool St, London EC2M 7PP, UK",EC2M 7PP,Whitechapel,25,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 25-min walk from Kinetic Investments. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",253,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 25 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Kinetic Investments who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Kinetic Investments,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Whitechapel, a 25-minute walk from your office. We're looking for someone at Kinetic Investments who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Mint Insurance Brokers part of James Hallam,insurance_agency,http://www.mint-insurance.co.uk/,"10th Floor, 2 Minster Ct, London EC3R 7BB, UK",EC3R 7BB,Whitechapel,25,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 25-min walk from Mint Insurance Brokers part of James Hallam. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",277,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 25 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Mint Insurance Brokers part of James Hallam who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Mint Insurance Brokers part of James Hallam,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Whitechapel, a 25-minute walk from your office. We're looking for someone at Mint Insurance Brokers part of James Hallam who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Stonebridge International Insurance Ltd.,insurance_agency,https://www.stonebridge-insurance.com/,"26, The Leadenhall Building, 122 Leadenhall St, London EC3V 4AB, UK",EC3V 4AB,Whitechapel,25,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 25-min walk from Stonebridge International Insurance Ltd.. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",274,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 25 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Stonebridge International Insurance Ltd. who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Stonebridge International Insurance Ltd.,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Whitechapel, a 25-minute walk from your office. We're looking for someone at Stonebridge International Insurance Ltd. who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Turquoise International Limited,finance,https://www.turquoise.eu/,"99 Bishopsgate, London EC2M 3XD, UK",EC2M 3XD,Whitechapel,25,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 25-min walk from Turquoise International Limited. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",265,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 25 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Turquoise International Limited who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Turquoise International Limited,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Whitechapel, a 25-minute walk from your office. We're looking for someone at Turquoise International Limited who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
United Insurance Brokers Limited,insurance_agency,http://www.uib.co.uk/,"19th Floor, The Leadenhall Building, 122 Leadenhall St, London EC3V 4AB, UK",EC3V 4AB,Whitechapel,25,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 25-min walk from United Insurance Brokers Limited. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",266,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 25 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at United Insurance Brokers Limited who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near United Insurance Brokers Limited,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Whitechapel, a 25-minute walk from your office. We're looking for someone at United Insurance Brokers Limited who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Wilder Coe,finance,https://www.wildercoe.co.uk/,"Fl 1, 143 - 149 Fenchurch St, London EC3M 6BL, UK",EC3M 6BL,Borough Academy,25,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 25-min walk from Wilder Coe. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",248,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 25 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Wilder Coe who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Wilder Coe,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Borough Academy, a 25-minute walk from your office. We're looking for someone at Wilder Coe who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
BancTrust Investment Bank Limited,finance,http://banctrust.com/,"level 36, London EC2N 4BQ, UK",EC2N 4BQ,Whitechapel,26,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 26-min walk from BancTrust Investment Bank Limited. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",267,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 26 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at BancTrust Investment Bank Limited who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near BancTrust Investment Bank Limited,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Whitechapel, a 26-minute walk from your office. We're looking for someone at BancTrust Investment Bank Limited who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Debitam - Online Account Filing,finance,https://www.debitam.com/,"42-44 Bishopsgate, London EC2N 4AH, UK",EC2N 4AH,Whitechapel,26,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 26-min walk from Debitam - Online Account Filing. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",265,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 26 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Debitam - Online Account Filing who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Debitam - Online Account Filing,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Whitechapel, a 26-minute walk from your office. We're looking for someone at Debitam - Online Account Filing who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
First Capital Corporation,finance,http://www.firstcapital.co.uk/,"52 Cornhill, London EC3V 3PD, UK",EC3V 3PD,Borough Academy,26,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 26-min walk from First Capital Corporation. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",263,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 26 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at First Capital Corporation who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near First Capital Corporation,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Borough Academy, a 26-minute walk from your office. We're looking for someone at First Capital Corporation who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Hiscox UK,insurance_agency,https://www.hiscox.co.uk/,"22 Bishopsgate, London EC2N 4BQ, UK",EC2N 4BQ,Whitechapel,26,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 26-min walk from Hiscox UK. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",243,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 26 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Hiscox UK who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Hiscox UK,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Whitechapel, a 26-minute walk from your office. We're looking for someone at Hiscox UK who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Horner Blakey Insurance Brokers,insurance_agency,http://www.hornerblakey.co.uk/,"141-142 Fenchurch St, London EC3M 6BQ, UK",EC3M 6BQ,Borough Academy,26,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 26-min walk from Horner Blakey Insurance Brokers. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",269,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 26 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Horner Blakey Insurance Brokers who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Horner Blakey Insurance Brokers,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Borough Academy, a 26-minute walk from your office. We're looking for someone at Horner Blakey Insurance Brokers who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
KNG Securities LLP,finance,http://www.kngsecurities.com/,"Tower 42, 12th Floor, 25 Old Broad St, London EC2N 1HN, UK",EC2N 1HN,Whitechapel,26,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 26-min walk from KNG Securities LLP. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",252,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 26 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at KNG Securities LLP who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near KNG Securities LLP,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Whitechapel, a 26-minute walk from your office. We're looking for someone at KNG Securities LLP who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Lime Street Insurance Brokers Limited,insurance_agency,http://www.limestreetbrokers.com/,"6th Floor, 143-149 Fenchurch St, London EC3M 6BN, UK",EC3M 6BN,Borough Academy,26,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 26-min walk from Lime Street Insurance Brokers Limited. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",275,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 26 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Lime Street Insurance Brokers Limited who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Lime Street Insurance Brokers Limited,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Borough Academy, a 26-minute walk from your office. We're looking for someone at Lime Street Insurance Brokers Limited who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
London Marine Insurance Services Ltd,insurance_agency,http://www.london-marine.co.uk/,"1 Gracechurch St, London EC3V 0DD, UK",EC3V 0DD,Borough Academy,26,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 26-min walk from London Marine Insurance Services Ltd. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",274,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 26 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at London Marine Insurance Services Ltd who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near London Marine Insurance Services Ltd,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Borough Academy, a 26-minute walk from your office. We're looking for someone at London Marine Insurance Services Ltd who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
London and Oxford Capital Markets Plc,finance,http://www.londonandoxford.com/,"5th Floor, 4 Moorgate, London EC2R 6DA, UK",EC2R 6DA,Old St - Moreland Primary School,26,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 26-min walk from London and Oxford Capital Markets Plc. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",292,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 26 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at London and Oxford Capital Markets Plc who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near London and Oxford Capital Markets Plc,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Old St - Moreland Primary School, a 26-minute walk from your office. We're looking for someone at London and Oxford Capital Markets Plc who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Pebble Accounting | London,finance,https://pebble-accounting.co.uk/?utm_source=googlemybusiness,"New Broad Street House, 35 New Broad St, London EC2M 1NH, UK",EC2M 1NH,Old St - Moreland Primary School,26,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 26-min walk from Pebble Accounting | London. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",281,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 26 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Pebble Accounting | London who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Pebble Accounting | London,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Old St - Moreland Primary School, a 26-minute walk from your office. We're looking for someone at Pebble Accounting | London who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Singer Capital Markets,finance,http://www.singercm.com/,"1 Bartholomew Ln, London EC2N 2AX, UK",EC2N 2AX,Borough Academy,26,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 26-min walk from Singer Capital Markets. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",260,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 26 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Singer Capital Markets who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Singer Capital Markets,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Borough Academy, a 26-minute walk from your office. We're looking for someone at Singer Capital Markets who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Solus Capital Partners Ltd,finance,http://soluscapitalpartners.com/,"Fifth Floor, 11 Leadenhall St, London EC3V 1LP, UK",EC3V 1LP,Whitechapel,26,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 26-min walk from Solus Capital Partners Ltd. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",260,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 26 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Solus Capital Partners Ltd who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Solus Capital Partners Ltd,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Whitechapel, a 26-minute walk from your office. We're looking for someone at Solus Capital Partners Ltd who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
