Company name,Companies House number,Category,Postcode,Registered address,Incorporated,Accounts type,SIC codes,Nearest FC Urban venue,Walk (min),Venue match,In existing FC Urban sheet?,Contact first name,Contact full name,Contact job title,LinkedIn URL,Connection note (<=300),Note length,Follow-up DM,LinkedIn status,Connected at,Replied,Notes
Sister Group,,Financial institution,EC1R 0AA,"18 CLERKENWELL CLOSE, LONDON",18/07/2019,FULL,59113 - Television programme production activities | 64209 - Activities of other holding companies n.e.c.,Old St - Moreland Primary School,13,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 13-min walk from Sister Group. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",267,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 13 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Sister Group who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Sister Holdings,,Financial institution,EC1R 0AA,"18 CLERKENWELL CLOSE, LONDON",18/07/2019,GROUP,64209 - Activities of other holding companies n.e.c.,Old St - Moreland Primary School,13,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 13-min walk from Sister Holdings. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",270,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 13 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Sister Holdings who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Six Financial Information Uk,,Financial institution,EC3A 8AA,"4TH FLOOR EXCHEQUER COURT, LONDON",26/03/1987,FULL,64999 - Financial intermediation not elsewhere classified,Whitechapel,23,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 23-min walk from Six Financial Information Uk. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",262,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 23 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Six Financial Information Uk who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Skuld Investment,,Financial institution,EC3A 8EP,"LEVEL 30B, LONDON",27/07/2011,FULL,64209 - Activities of other holding companies n.e.c.,Whitechapel,23,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 23-min walk from Skuld Investment. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",250,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 23 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Skuld Investment who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Slater Investments,,Financial institution,EC4R 0EU,"NICHOLAS HOUSE, LONDON",19/10/1993,FULL,66300 - Fund management activities,Borough Academy,18,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 18-min walk from Slater Investments. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",256,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 18 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Slater Investments who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Smart Managed Solutions Group,,Financial institution,EC3N 1LJ,"UNIT 201 PORTSOKEN HOUSE, LONDON",19/03/2020,GROUP,64209 - Activities of other holding companies n.e.c.,Whitechapel,18,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 18-min walk from Smart Managed Solutions Group. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",263,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 18 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Smart Managed Solutions Group who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Smart Managed Solutions Holdings,,Financial institution,EC3N 1LJ,"UNIT 201 PORTSOKEN HOUSE, LONDON",19/03/2020,FULL,64209 - Activities of other holding companies n.e.c.,Whitechapel,18,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 18-min walk from Smart Managed Solutions Holdings. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",266,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 18 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Smart Managed Solutions Holdings who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Smith Bilbrough & Co.,,Financial institution,EC3R 8AG,"20 ST DUNSTAN'S HILL, LONDON",09/10/1992,FULL,66220 - Activities of insurance agents and brokers,Borough Academy,22,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 22-min walk from Smith Bilbrough & Co.. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",259,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 22 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Smith Bilbrough & Co. who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Snow Bidco,,Financial institution,EC4R 0BL,"POUNTNEY HILL HOUSE, LONDON",20/04/2022,FULL,64209 - Activities of other holding companies n.e.c.,Borough Academy,18,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 18-min walk from Snow Bidco. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",248,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 18 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Snow Bidco who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Snow Midco,,Financial institution,EC4R 0BL,"POUNTNEY HILL HOUSE, LONDON",20/04/2022,FULL,64209 - Activities of other holding companies n.e.c.,Borough Academy,18,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 18-min walk from Snow Midco. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",248,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 18 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Snow Midco who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Somers Syndicate Management,,Financial institution,EC3M 7HA,"OFFICE 891, LLOYD'S, LONDON",17/12/2021,FULL,66220 - Activities of insurance agents and brokers,Whitechapel,25,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 25-min walk from Somers Syndicate Management. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",261,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 25 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Somers Syndicate Management who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Southern Housing Finance,,Financial institution,EC1M 5LA,"FLEET HOUSE, LONDON",02/02/2012,FULL,64999 - Financial intermediation not elsewhere classified,Old St - Moreland Primary School,13,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 13-min walk from Southern Housing Finance. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",279,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 13 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Southern Housing Finance who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Spark Finance,,Financial institution,EC3A 7JB,"JOHN STOW HOUSE, LONDON",15/04/2016,FULL,64999 - Financial intermediation not elsewhere classified,Whitechapel,21,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 21-min walk from Spark Finance. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",247,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 21 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Spark Finance who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Sparrows Capital,,Financial institution,EC4M 7JN,"35-37 LUDGATE HILL, LONDON",24/07/2013,FULL,66190 - Activities auxiliary to financial intermediation n.e.c. | 66300 - Fund management activities | 70221 - Financial management,Borough Academy,21,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 21-min walk from Sparrows Capital. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",254,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 21 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Sparrows Capital who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Spectra Uk Holding,,Financial institution,EC2V 8EY,"21 IRONMONGER LANE, LONDON",12/02/2021,GROUP,64205 - Activities of financial services holding companies,Borough Academy,23,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 23-min walk from Spectra Uk Holding. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",256,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 23 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Spectra Uk Holding who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Spectraxe,,Financial institution,EC2V 8EY,"21 IRONMONGER LANE, LONDON",08/09/2022,FULL,64999 - Financial intermediation not elsewhere classified,Borough Academy,23,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 23-min walk from Spectraxe. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",247,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 23 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Spectraxe who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Spend,,Financial institution,EC1V 8AR,"142 CENTRAL STREET, LONDON",07/05/2020,MEDIUM,64999 - Financial intermediation not elsewhere classified,Old St - Moreland Primary School,9,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 9-min walk from Spend. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",259,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 9 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Spend who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Spf Private Clients,,Financial institution,EC3V 0BT,"33 GRACECHURCH STREET, LONDON",04/12/1998,FULL,66220 - Activities of insurance agents and brokers,Borough Academy,22,exact postcode,YES,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 22-min walk from Spf Private Clients. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",257,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 22 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Spf Private Clients who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Sphere Abacus,,Financial institution,EC1M 5SA,"112 CLERKENWELL ROAD, LONDON",10/02/2020,FULL,64209 - Activities of other holding companies n.e.c.,Old St - Moreland Primary School,13,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 13-min walk from Sphere Abacus. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",268,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 13 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Sphere Abacus who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Spl J Holdings,,Financial institution,EC1R 0JY,"1 ROSOMAN PLACE, LONDON",10/08/2017,GROUP,64209 - Activities of other holding companies n.e.c.,Old St - Moreland Primary School,13,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 13-min walk from Spl J Holdings. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",269,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 13 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Spl J Holdings who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Sportscover Europe,,Financial institution,EC3M 6BN,"6TH FLOOR SACKVILLE HOUSE, LONDON",04/03/1999,FULL,66220 - Activities of insurance agents and brokers,Borough Academy,26,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 26-min walk from Sportscover Europe. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",256,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 26 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Sportscover Europe who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Spring Insure,,Financial institution,EC3A 5BU,"1ST FLOOR MITRE HOUSE, LONDON",13/09/2020,FULL,65120 - Non-life insurance,Whitechapel,22,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 22-min walk from Spring Insure. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",247,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 22 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Spring Insure who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Spring Partners (Holdings),,Financial institution,EC3A 5BU,"1ST FLOOR MITRE HOUSE, LONDON",25/09/2020,FULL,65120 - Non-life insurance,Whitechapel,22,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 22-min walk from Spring Partners (Holdings). Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",260,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 22 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Spring Partners (Holdings) who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Springfords,,Financial institution,EC4Y 1LL,"1-2 SERJEANTS' INN, LONDON",20/11/2018,GROUP,64209 - Activities of other holding companies n.e.c.,Borough Academy,21,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 21-min walk from Springfords. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",249,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 21 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Springfords who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Spx Sabik Europe Holdings,,Financial institution,EC4M 9AF,"5TH FLOOR, ONE, LONDON",09/01/2019,FULL,64209 - Activities of other holding companies n.e.c.,Borough Academy,22,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 22-min walk from Spx Sabik Europe Holdings. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",263,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 22 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Spx Sabik Europe Holdings who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Squarepoint Services Uk,,Financial institution,EC2Y 9AW,"CITYPOINT, LONDON",26/09/2022,FULL,66300 - Fund management activities,Old St - Moreland Primary School,19,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 19-min walk from Squarepoint Services Uk. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",278,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 19 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Squarepoint Services Uk who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Squarepoint Uk Holdco 1,,Financial institution,EC2Y 9AW,"ONE ROPEMAKER STREET, LONDON",17/04/2014,FULL,66300 - Fund management activities,Old St - Moreland Primary School,19,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 19-min walk from Squarepoint Uk Holdco 1. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",278,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 19 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Squarepoint Uk Holdco 1 who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Squarepoint Uk Holdco 2,,Financial institution,EC2Y 9AW,"ONE ROPEMAKER STREET, LONDON",17/04/2014,FULL,66300 - Fund management activities,Old St - Moreland Primary School,19,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 19-min walk from Squarepoint Uk Holdco 2. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",278,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 19 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Squarepoint Uk Holdco 2 who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
St. John Group,,Financial institution,EC1M 4AY,"26 ST. JOHN STREET, LONDON",14/04/2022,GROUP,64209 - Activities of other holding companies n.e.c.,Old St - Moreland Primary School,15,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 15-min walk from St. John Group. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",269,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 15 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at St. John Group who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Stanbic Africa Holdings,,Financial institution,EC2V 7JE,"20 GRESHAM STREET, LONDON",21/05/1965,FULL,64205 - Activities of financial services holding companies,Old St - Moreland Primary School,24,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 24-min walk from Stanbic Africa Holdings. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",278,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 24 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Stanbic Africa Holdings who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Stancroft Trust,,Financial institution,EC4Y 8JP,"BRIDE HOUSE, LONDON",23/06/1947,GROUP,64999 - Financial intermediation not elsewhere classified,Borough Academy,21,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 21-min walk from Stancroft Trust. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",253,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 21 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Stancroft Trust who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Standard Advisory London,,Financial institution,EC2V 7JE,"20 GRESHAM STREET, LONDON",05/02/2014,FULL,64999 - Financial intermediation not elsewhere classified,Old St - Moreland Primary School,24,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 24-min walk from Standard Advisory London. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",279,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 24 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Standard Advisory London who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Starr Managing Agents,,Financial institution,EC3M 5AD,"30 FENCHURCH AVENUE, LONDON",01/06/2007,FULL,65120 - Non-life insurance,Whitechapel,24,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 24-min walk from Starr Managing Agents. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",255,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 24 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Starr Managing Agents who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Starr Syndicate,,Financial institution,EC3M 5AD,"30 FENCHURCH AVENUE, LONDON",17/08/2006,FULL,65120 - Non-life insurance,Whitechapel,24,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 24-min walk from Starr Syndicate. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",249,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 24 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Starr Syndicate who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Starr Underwriting Agents,,Financial institution,EC3M 5AD,"30 FENCHURCH AVENUE, LONDON",05/10/1994,FULL,65120 - Non-life insurance | 66220 - Activities of insurance agents and brokers,Whitechapel,24,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 24-min walk from Starr Underwriting Agents. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",259,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 24 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Starr Underwriting Agents who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Staude Capital,,Financial institution,EC2R 6BH,"51 MOORGATE, LONDON",16/06/2016,FULL,64999 - Financial intermediation not elsewhere classified,Old St - Moreland Primary School,25,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 25-min walk from Staude Capital. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",269,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 25 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Staude Capital who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Steadfast Group (Uk),,Financial institution,EC3N 3DQ,"6TH FLOOR, 1, LONDON",18/04/2018,FULL,65120 - Non-life insurance,Whitechapel,21,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 21-min walk from Steadfast Group (Uk). Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",254,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 21 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Steadfast Group (Uk) who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
